,0,,,,1
0,78.53905826,17.40150706,78.54405826,17.39650706,7485.428468
1,78.54405826,17.40150706,78.54905826,17.39650706,4333.105608
2,78.54905826,17.40150706,78.55405826,17.39650706,4395.165948
3,78.55405826,17.40150706,78.55905826,17.39650706,4348.75557
4,78.55905826,17.40650706,78.56405826,17.40150706,9567.969503
5,78.55905826,17.40150706,78.56405826,17.39650706,8823.320781
6,78.55405826,17.38650706,78.55905826,17.38150706,7096.193111
7,78.55405826,17.39650706,78.55905826,17.39150706,4993.512518
8,78.55405826,17.39150706,78.55905826,17.38650706,4123.050969
9,78.55405826,17.40650706,78.55905826,17.40150706,4727.1754
10,78.55905826,17.39650706,78.56405826,17.39150706,10863.01532
11,78.55905826,17.32150706,78.56405826,17.31650706,8640.330326
12,78.56405826,17.32150706,78.56905826,17.31650706,8665.849453
13,78.56905826,17.32650706,78.57405826,17.32150706,10174.19024
14,78.56905826,17.32150706,78.57405826,17.31650706,8837.008839
15,78.57405826,17.33150706,78.57905826,17.32650706,8513.174624
16,78.57405826,17.32650706,78.57905826,17.32150706,8196.9961
17,78.56905826,17.34150706,78.57405826,17.33650706,7329.04303
18,78.56905826,17.33650706,78.57405826,17.33150706,8570.818586
19,78.56905826,17.40650706,78.57405826,17.40150706,8344.096436
20,78.57405826,17.40650706,78.57905826,17.40150706,2885.485041
21,78.57405826,17.40150706,78.57905826,17.39650706,4402.984854
22,78.57905826,17.40150706,78.58405826,17.39650706,2096.353947
23,78.57905826,17.40650706,78.58405826,17.40150706,3527.180503
24,78.56405826,17.40150706,78.56905826,17.39650706,9308.693279
25,78.56905826,17.40150706,78.57405826,17.39650706,9950.262457
26,78.71405826,17.31150706,78.71905826,17.30650706,5957.194832
27,78.71405826,17.30650706,78.71905826,17.30150706,2991.658477
28,78.71905826,17.30650706,78.72405826,17.30150706,3171.818552
29,78.72405826,17.30650706,78.72905826,17.30150706,6056.909435
30,78.72405826,17.30150706,78.72905826,17.29650706,2745.508104
31,78.72905826,17.30650706,78.73405826,17.30150706,3703.328964
32,78.72905826,17.30150706,78.73405826,17.29650706,529.6784426
33,78.73405826,17.30150706,78.73905826,17.29650706,4820.593279
34,78.73905826,17.30150706,78.74405826,17.29650706,4771.041482
35,78.59905826,17.31650706,78.60405826,17.31150706,6907.036086
36,78.60405826,17.31650706,78.60905826,17.31150706,8223.346694
37,78.64405826,17.28150706,78.64905826,17.27650706,4434.275899
38,78.64905826,17.28150706,78.65405826,17.27650706,3373.098467
39,78.65405826,17.28150706,78.65905826,17.27650706,2075.722056
40,78.65405826,17.27650706,78.65905826,17.27150706,387.6132518
41,78.65905826,17.27650706,78.66405826,17.27150706,943.6973175
42,78.66405826,17.27650706,78.66905826,17.27150706,1977.229917
43,78.66905826,17.27650706,78.67405826,17.27150706,1069.397634
44,78.66905826,17.27150706,78.67405826,17.26650706,4299.72516
45,78.67405826,17.27650706,78.67905826,17.27150706,1249.601094
46,78.67405826,17.27150706,78.67905826,17.26650706,4926.815301
47,78.67905826,17.27650706,78.68405826,17.27150706,937.0580903
48,78.68405826,17.27650706,78.68905826,17.27150706,619.5491022
49,78.68405826,17.27150706,78.68905826,17.26650706,4220.655172
50,78.68905826,17.30150706,78.69405826,17.29650706,3719.487668
51,78.68905826,17.29650706,78.69405826,17.29150706,2773.329688
52,78.68905826,17.29150706,78.69405826,17.28650706,5640.277044
53,78.68905826,17.28650706,78.69405826,17.28150706,996.3629455
54,78.68905826,17.27650706,78.69405826,17.27150706,4763.413164
55,78.68905826,17.27150706,78.69405826,17.26650706,4500.877944
56,78.69405826,17.28650706,78.69905826,17.28150706,2780.32496
57,78.69405826,17.28150706,78.69905826,17.27650706,3423.166563
58,78.69405826,17.27650706,78.69905826,17.27150706,4843.101305
59,78.69405826,17.27150706,78.69905826,17.26650706,4197.077771
60,78.67405826,17.26150706,78.67905826,17.25650706,1243.983719
61,78.67405826,17.25650706,78.67905826,17.25150706,3306.893158
62,78.67905826,17.25650706,78.68405826,17.25150706,4795.775925
