File,aid,Date,(1) Barren,(3) Water Bodies,(9) Urban and Built-up Lands,(10) Dense Forests,(20) Open Forests,(25) Forest/Cropland Mosaics,(30) Natural Herbaceous,(35) Natural Herbaceous/Croplands Mosaics,(36) Herbaceous Croplands,(40) Shrublands
LC_Prop2_2013001_aid0001,aid0001,2013-01-01,526,2252,8562,33568,31536,1293,33881,24,454327,405
LC_Prop2_2014001_aid0001,aid0001,2014-01-01,525,2186,8630,31737,32396,1383,35523,41,453541,412
LC_Prop2_2015001_aid0001,aid0001,2015-01-01,528,1756,8661,30465,32556,1456,37079,41,453419,413
LC_Prop2_2016001_aid0001,aid0001,2016-01-01,528,1692,8681,29457,32442,1524,37338,41,454259,412
LC_Prop2_2017001_aid0001,aid0001,2017-01-01,476,2034,8724,31654,30906,1319,35120,23,455728,390
LC_Prop2_2018001_aid0001,aid0001,2018-01-01,456,2036,8872,30049,32212,1371,39603,65,451321,389
LC_Prop2_2019001_aid0001,aid0001,2019-01-01,455,1890,9035,31148,28954,1155,35941,9,457448,337
LC_Prop2_2020001_aid0001,aid0001,2020-01-01,398,2324,9205,34933,29569,1174,36340,19,452084,328
