File,aid,Date,(1) Barren,(3) Water Bodies,(12) Evergreen Broadleaf Forests,(14) Deciduous Broadleaf Forests,(16) Mixed Broadleaf Evergreen/Deciduous Forests,(21) Open Forests,(22) Sparse Forests,(31) Dense Herbaceous,(32) Sparse Herbaceous,(43) Sparse Shrublands
LC_Prop1_2013001_aid0001,aid0001,2013-01-01,551,2252,53,31437,2078,1670,31584,491420,4874,455
LC_Prop1_2014001_aid0001,aid0001,2014-01-01,550,2186,55,29696,1986,1640,32618,492319,4863,461
LC_Prop1_2015001_aid0001,aid0001,2015-01-01,553,1756,52,28539,1874,1557,32931,493789,4861,460
LC_Prop1_2016001_aid0001,aid0001,2016-01-01,553,1692,50,27664,1743,1441,33009,494976,4785,459
LC_Prop1_2017001_aid0001,aid0001,2017-01-01,499,2034,45,29980,1629,1424,31321,494452,4562,428
LC_Prop1_2018001_aid0001,aid0001,2018-01-01,479,2036,49,28252,1748,1603,32596,494170,5021,419
LC_Prop1_2019001_aid0001,aid0001,2019-01-01,481,1890,65,29249,1834,1815,28892,496442,5321,361
LC_Prop1_2020001_aid0001,aid0001,2020-01-01,420,2324,59,32823,2051,1942,29527,491220,5647,343
