a"Road"aLightaLULCaNDVI
counta26459.0a26459.0a26459.0a26459.0
"mean"a1125.3302750822027a5.438339540043086a12.04807437922824a0.4336737764087834
stda2084.4055905907885a10.057080738029109a0.49147426895995994a0.0607412777882662
mina0.0a0.32418a0.0a0.0
25%a0.0a1.003865a12.0a0.40704
50%a179.66089a1.69631a12.0a0.43889
75%a1031.924865a4.137835a12.0a0.46806
"max"a15504.71875a106.10519a17.0a0.70133
